[2024-12-05T20:40:37.081+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:40:37.093+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-01-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.099+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-01-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.100+0000] {taskinstance.py:2866} INFO - Starting attempt 3 of 3
[2024-12-05T20:40:37.111+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-01-02 06:00:00+00:00
[2024-12-05T20:40:37.117+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=807) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T20:40:37.118+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'scheduled__2021-01-02T06:00:00+00:00', '--job-id', '39', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmp0x3xtftx']
[2024-12-05T20:40:37.119+0000] {standard_task_runner.py:72} INFO - Started process 821 to run task
[2024-12-05T20:40:37.119+0000] {standard_task_runner.py:105} INFO - Job 39: Subtask wget
[2024-12-05T20:40:37.150+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget scheduled__2021-01-02T06:00:00+00:00 [running]> on host cf87bc668ac5
[2024-12-05T20:40:37.556+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... .......... 11% 6.59M 2s
[2024-12-05T20:40:37.563+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... .......... 11% 6.85M 2s
[2024-12-05T20:40:37.564+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... .......... 11% 41.5M 2s
[2024-12-05T20:40:37.569+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... .......... 12% 9.96M 2s
[2024-12-05T20:40:37.570+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... .......... 12% 73.6M 2s
[2024-12-05T20:40:37.583+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... .......... 12% 3.56M 2s
[2024-12-05T20:40:37.584+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... .......... 12%  190M 2s
[2024-12-05T20:40:37.585+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... .......... 12%  125M 2s
[2024-12-05T20:40:37.585+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... .......... 13%  211M 2s
[2024-12-05T20:40:37.586+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... .......... 13% 63.1M 2s
[2024-12-05T20:40:37.601+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... .......... 13% 3.12M 2s
[2024-12-05T20:40:37.602+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... .......... 13%  127M 2s
[2024-12-05T20:40:37.626+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... .......... 14% 1.96M 2s
[2024-12-05T20:40:37.629+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... .......... 14% 18.7M 2s
[2024-12-05T20:40:37.630+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... .......... 14% 48.2M 2s
[2024-12-05T20:40:37.632+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... .......... 14% 19.9M 2s
[2024-12-05T20:40:37.636+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... .......... 15% 16.1M 2s
[2024-12-05T20:40:37.637+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... .......... 15% 26.2M 2s
[2024-12-05T20:40:37.641+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... .......... 15% 84.9M 2s
[2024-12-05T20:40:37.641+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... .......... 15% 70.0M 2s
[2024-12-05T20:40:37.643+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... .......... 16% 73.4M 2s
[2024-12-05T20:40:37.643+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... .......... 16% 51.9M 2s
[2024-12-05T20:40:37.668+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... .......... 16% 1.72M 2s
[2024-12-05T20:40:37.669+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... .......... 16%  204M 2s
[2024-12-05T20:40:37.670+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... .......... 16%  145M 2s
[2024-12-05T20:40:37.671+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... .......... 17%  200M 2s
[2024-12-05T20:40:37.674+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... .......... 17%  145M 2s
[2024-12-05T20:40:37.674+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... .......... 17% 30.5M 2s
