[2024-12-05T20:39:30.565+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... .......... 22% 2.55M 4s
[2024-12-05T20:39:30.576+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... .......... 23%  197M 3s
[2024-12-05T20:39:30.597+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... .......... 23%  117M 3s
[2024-12-05T20:39:30.599+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... .......... 23% 18.6M 3s
[2024-12-05T20:39:30.600+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... .......... 23%  142M 3s
[2024-12-05T20:39:30.600+0000] {subprocess.py:106} INFO -   5050K .......... .......... .......... .......... .......... 24% 5.19M 3s
[2024-12-05T20:39:30.600+0000] {subprocess.py:106} INFO -   5100K .......... .......... .......... .......... .......... 24% 5.94M 3s
[2024-12-05T20:39:30.601+0000] {subprocess.py:106} INFO -   5150K .......... .......... .......... .......... .......... 24% 9.17M 3s
[2024-12-05T20:39:30.601+0000] {subprocess.py:106} INFO -   5200K .......... .......... .......... .......... .......... 24% 32.0M 3s
[2024-12-05T20:39:30.601+0000] {subprocess.py:106} INFO -   5250K .......... .......... .......... .......... .......... 25% 76.9M 3s
[2024-12-05T20:39:30.601+0000] {subprocess.py:106} INFO -   5300K .......... .......... .......... .......... .......... 25% 6.37M 3s
[2024-12-05T20:39:30.601+0000] {subprocess.py:106} INFO -   5350K .......... .......... .......... .......... .......... 25%  112M 3s
[2024-12-05T20:39:30.604+0000] {subprocess.py:106} INFO -   5400K .......... .......... .......... .......... .......... 25% 13.7M 3s
[2024-12-05T20:39:30.608+0000] {subprocess.py:106} INFO -   5450K .......... .......... .......... .......... .......... 25% 11.7M 3s
[2024-12-05T20:39:30.617+0000] {subprocess.py:106} INFO -   5500K .......... .......... .......... .......... .......... 26%  242M 3s
[2024-12-05T20:39:30.617+0000] {subprocess.py:106} INFO -   5550K .......... .......... .......... .......... .......... 26%  279M 3s
[2024-12-05T20:39:30.617+0000] {subprocess.py:106} INFO -   5600K .......... .......... .......... .......... .......... 26% 23.5M 3s
[2024-12-05T20:39:30.617+0000] {subprocess.py:106} INFO -   5650K .......... .......... .......... .......... .......... 26%  170M 3s
[2024-12-05T20:39:30.618+0000] {subprocess.py:106} INFO -   5700K .......... .......... .......... .......... .......... 27% 8.74M 3s
[2024-12-05T20:39:30.648+0000] {subprocess.py:106} INFO -   5750K .......... .......... .......... .......... .......... 27% 8.05M 3s
[2024-12-05T20:39:30.650+0000] {subprocess.py:106} INFO -   5800K .......... .......... .......... .......... .......... 27% 8.69M 3s
[2024-12-05T20:39:30.654+0000] {subprocess.py:106} INFO -   5850K .......... .......... .......... .......... .......... 27% 40.7M 3s
[2024-12-05T20:39:30.655+0000] {subprocess.py:106} INFO -   5900K .......... .......... .......... .......... .......... 28% 29.3M 3s
[2024-12-05T20:39:30.655+0000] {subprocess.py:106} INFO -   5950K .......... .......... .......... .......... .......... 28%  239M 3s
[2024-12-05T20:39:30.655+0000] {subprocess.py:106} INFO -   6000K .......... .......... .......... .......... .......... 28%  264M 3s
[2024-12-05T20:39:30.658+0000] {subprocess.py:106} INFO -   6050K .......... .......... .......... .......... .......... 28% 4.96M 3s
[2024-12-05T20:39:30.658+0000] {subprocess.py:106} INFO -   6100K .......... .......... .......... .......... .......... 29%  133M 3s
