[2024-12-05T20:39:28.793+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:39:28.813+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-03-02T06:00:00+00:00 [queued]>
[2024-12-05T20:39:28.822+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-03-02T06:00:00+00:00 [queued]>
[2024-12-05T20:39:28.823+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-05T20:39:28.836+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-03-02 06:00:00+00:00
[2024-12-05T20:39:28.841+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=749) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T20:39:28.842+0000] {standard_task_runner.py:72} INFO - Started process 756 to run task
[2024-12-05T20:39:28.842+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'scheduled__2021-03-02T06:00:00+00:00', '--job-id', '20', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpjla8hq_z']
[2024-12-05T20:39:28.844+0000] {standard_task_runner.py:105} INFO - Job 20: Subtask wget
[2024-12-05T20:39:28.895+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget scheduled__2021-03-02T06:00:00+00:00 [running]> on host cf87bc668ac5
[2024-12-05T20:39:29.772+0000] {subprocess.py:106} INFO -   5950K .......... .......... .......... .......... .......... 20%  343M 1s
[2024-12-05T20:39:29.773+0000] {subprocess.py:106} INFO -   6000K .......... .......... .......... .......... .......... 20%  130M 1s
[2024-12-05T20:39:29.774+0000] {subprocess.py:106} INFO -   6050K .......... .......... .......... .......... .......... 20%  165M 1s
[2024-12-05T20:39:29.778+0000] {subprocess.py:106} INFO -   6100K .......... .......... .......... .......... .......... 20%  266M 1s
[2024-12-05T20:39:29.779+0000] {subprocess.py:106} INFO -   6150K .......... .......... .......... .......... .......... 21%  254M 1s
[2024-12-05T20:39:29.783+0000] {subprocess.py:106} INFO -   6200K .......... .......... .......... .......... .......... 21%  126M 1s
[2024-12-05T20:39:29.790+0000] {subprocess.py:106} INFO -   6250K .......... .......... .......... .......... .......... 21%  223M 1s
[2024-12-05T20:39:29.796+0000] {subprocess.py:106} INFO -   6300K .......... .......... .......... .......... .......... 21%  284M 1s
[2024-12-05T20:39:29.798+0000] {subprocess.py:106} INFO -   6350K .......... .......... .......... .......... .......... 21%  280M 1s
[2024-12-05T20:39:29.807+0000] {subprocess.py:106} INFO -   6400K .......... .......... .......... .......... .......... 22% 72.4M 1s
[2024-12-05T20:39:29.812+0000] {subprocess.py:106} INFO -   6450K .......... .......... .......... .......... .......... 22% 44.4M 1s
[2024-12-05T20:39:29.813+0000] {subprocess.py:106} INFO -   6500K .......... .......... .......... .......... .......... 22%  233M 1s
[2024-12-05T20:39:29.813+0000] {subprocess.py:106} INFO -   6550K .......... .......... .......... .......... .......... 22% 95.2M 1s
