[2024-12-05T20:40:37.058+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:40:37.074+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-03-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.079+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-03-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.080+0000] {taskinstance.py:2866} INFO - Starting attempt 3 of 3
[2024-12-05T20:40:37.091+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-03-02 06:00:00+00:00
[2024-12-05T20:40:37.095+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=811) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T20:40:37.097+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'scheduled__2021-03-02T06:00:00+00:00', '--job-id', '32', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpq_hqpw5d']
[2024-12-05T20:40:37.098+0000] {standard_task_runner.py:105} INFO - Job 32: Subtask wget
[2024-12-05T20:40:37.098+0000] {standard_task_runner.py:72} INFO - Started process 814 to run task
[2024-12-05T20:40:37.136+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget scheduled__2021-03-02T06:00:00+00:00 [running]> on host cf87bc668ac5
[2024-12-05T20:40:37.531+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... .......... 13%  161M 1s
[2024-12-05T20:40:37.531+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... .......... 13%  217M 1s
[2024-12-05T20:40:37.531+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... .......... 13%  221M 1s
[2024-12-05T20:40:37.532+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... .......... 13% 43.8M 1s
[2024-12-05T20:40:37.532+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... .......... 14% 33.9M 1s
[2024-12-05T20:40:37.533+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... .......... 14%  278M 1s
[2024-12-05T20:40:37.534+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... .......... 14%  184M 1s
[2024-12-05T20:40:37.552+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... .......... 14% 2.07M 1s
[2024-12-05T20:40:37.553+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... .......... 14%  229M 1s
[2024-12-05T20:40:37.553+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... .......... 15%  241M 1s
[2024-12-05T20:40:37.554+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... .......... 15%  145M 1s
[2024-12-05T20:40:37.554+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... .......... 15%  177M 1s
[2024-12-05T20:40:37.554+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... .......... 15%  259M 1s
[2024-12-05T20:40:37.555+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... .......... 15%  226M 1s
[2024-12-05T20:40:37.555+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... .......... 15%  329M 1s
[2024-12-05T20:40:37.564+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... .......... 16% 4.59M 1s
[2024-12-05T20:40:37.567+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... .......... 16% 50.7M 1s
[2024-12-05T20:40:37.567+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... .......... 16%  171M 1s
[2024-12-05T20:40:37.567+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... .......... 16%  239M 1s
[2024-12-05T20:40:37.568+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... .......... 16%  213M 1s
[2024-12-05T20:40:37.568+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... .......... 16%  229M 1s
[2024-12-05T20:40:37.569+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... .......... 17%  188M 1s
[2024-12-05T20:40:37.569+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... .......... 17% 70.1M 1s
[2024-12-05T20:40:37.570+0000] {subprocess.py:106} INFO -   5050K .......... .......... .......... .......... .......... 17% 67.3M 1s
[2024-12-05T20:40:37.570+0000] {subprocess.py:106} INFO -   5100K .......... .......... .......... .......... .......... 17%  126M 1s
