[2024-12-05T19:54:08.167+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T19:54:08.176+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget manual__2024-12-05T19:54:05.651228+00:00 [queued]>
[2024-12-05T19:54:08.181+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget manual__2024-12-05T19:54:05.651228+00:00 [queued]>
[2024-12-05T19:54:08.181+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-05T19:54:08.189+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2024-12-05 19:54:05.651228+00:00
[2024-12-05T19:54:08.192+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=69) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T19:54:08.193+0000] {standard_task_runner.py:72} INFO - Started process 70 to run task
[2024-12-05T19:54:08.195+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'manual__2024-12-05T19:54:05.651228+00:00', '--job-id', '3', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmppidfg0ej']
[2024-12-05T19:54:08.196+0000] {standard_task_runner.py:105} INFO - Job 3: Subtask wget
[2024-12-05T19:54:08.221+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget manual__2024-12-05T19:54:05.651228+00:00 [running]> on host cf87bc668ac5
[2024-12-05T19:54:08.641+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... .......... 11% 53.6M 1s
[2024-12-05T19:54:08.641+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... .......... 11%  166M 1s
[2024-12-05T19:54:08.641+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... .......... 11% 58.9M 1s
[2024-12-05T19:54:08.641+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... .......... 12% 77.5M 1s
[2024-12-05T19:54:08.641+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... .......... 12% 75.8M 1s
[2024-12-05T19:54:08.645+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... .......... 12% 9.26M 1s
[2024-12-05T19:54:08.647+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... .......... 12% 65.4M 1s
[2024-12-05T19:54:08.647+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... .......... 12%  150M 1s
[2024-12-05T19:54:08.668+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... .......... 13% 2.31M 1s
[2024-12-05T19:54:08.669+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... .......... 13% 46.8M 1s
[2024-12-05T19:54:08.671+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... .......... 13%  137M 1s
[2024-12-05T19:54:08.671+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... .......... 13% 49.4M 1s
[2024-12-05T19:54:08.672+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... .......... 14% 53.4M 1s
[2024-12-05T19:54:08.672+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... .......... 14%  203M 1s
[2024-12-05T19:54:08.681+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... .......... 14% 6.09M 1s
[2024-12-05T19:54:08.681+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... .......... 14%  193M 1s
[2024-12-05T19:54:08.682+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... .......... 15% 42.2M 1s
[2024-12-05T19:54:08.682+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... .......... 15%  225M 1s
[2024-12-05T19:54:08.682+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... .......... 15%  177M 1s
